"Watercourse
Crossing ID","PXID","KP (Rev 5.0)","Waterbody Name/FWMIS Waterbody ID Number (FWMIS 2014)/ Stream Order at Crossing Site","Classification (Alberta)","Field UTM Coordinates (NAD 83)","Easting","Northing","longitude","latitude","Map","Fish Species Captured or Observed (Previously Documented – FWMIS)","Sensitivity Rating","Provincial RAP (AESRD)","Least Risk Biological Window Proposed","Rationale to Support LRBW Proposed if different from Provincial RAP","Planned Instream Construction Timing","Riparian Habitat Composition & Functionality","Vegetation Type","Stage","Apparent Condition","Project Proposed Primary","Project Proposed Contingency","Project Proposed Primary","Navigability Status","Site-Specific Comments","Reclamation Type","Can all of DFO's Measures to Avoid Harm be implemented for the Primary Pipeline Construction Method?"
"AB-137","W190.5","243.98","Little Sundance Creek/ 976/ 3","Class C","11","525307","5936527","-116.6177891","53.57699039","Map","ARTR, LKCH, PRDC, LNSC and Cyprinid species (unidentified) (ARGR, ARTR, BKTR, BURB, MNWH, RNTR, BRST, FNDC, LKCH, LNSC, PRDC, SPSC and WHSC)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","Winter (January to March) 2019","M","G","NA","Open","Isolated trenched with fish salvage and water quality monitoring","N/A","Existing crossing or clear span bridge","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted in LSA (breach may be needed). Spring influence noted within LSA. Centre of the proposed pipeline crossing occurs at a meander bend. Steep, erodible and unstable banks at the centre of the proposed pipeline crossing. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type F.","No. Measures to avoid harm will not be met for the primary isolated trenched pipeline crossing method because the construction timing is outside the LRBW."
"AB-138","W191.4","246.69","Sundance Creek/ 1719/ 3","Class C","11","522808","5936316","-116.655546","53.57520846","Map","ARTR, MNWH, BURB, Sculpin species (unidentified), Sucker species (unidentified) and PRDC (ARGR, ARTR, BRST, BURB, LKCH, LNDC, LNSC, MNWH, PRDC, RNTR, SPSC, TRPR and WHSC)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","Winter (January to March) 2019","M","S","Shr","Intact","Isolated trenched with fish salvage and water quality monitoring","N/A","Clear span bridge","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted in LSA (breach may be needed). Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type F.","No. Measures to avoid harm will not be met for the primary isolated trenched pipeline crossing method because the construction timing is outside the LRBW."
"AB-138a","W2034. 0","254.09","Unnamed Wetland/ no FWMIS ID","Wetland","11","517294.96","5932707","-116.7390189","53.54297978","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-139","W193.3","255.75","Unnamed Wetland/ no FWMIS ID","Wetland","11","515815","5932760","-116.7613354","53.54350279","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-140","W194.4","256.39","Unnamed tributary to McLeod River/ 470274/ 1","Class C (unmapped)","11","515174","5932754","-116.7710089","53.54346777","Map","Unidentified species (none)","Low (Green)","September 1 to July 15","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","S","Shr","Intact","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Existing crossing","Class 2 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted within LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type D.","Yes"
"AB-141RM","W195.4","258.78","Unnamed tributary to McLeod River/ 23798/ 1","Class C (unmapped)","11","512877","5932945","-116.8056649","53.54524593","Map","BRST, WHSC, LKCH (BRST, FNDC, LKCH, and PRDC)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","July 2018 to October 2019","M","M","YF","Intact","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Clear span bridge","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted within LSA. For methods of assessment at this site see Section 3.3.1 of this supplemental report. Refer to Wetland Survey and Mitigation Plan relating to wetlands at this location.","Standard procedures and Type D.","No. Measures to avoid harm will not be met for the primary isolated trenched pipeline crossing method if the construction timing is outside the LRBW."
"AB-143","W197.2","268.22","Unnamed tributary to McLeod River/ 468358/ 3","Class C","11","503894","5933102","-116.941231","53.54680059","Map","ARGR, MNWH, WHSC, FNDC, PRDC and BRST (none)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","Winter (January to March) 2018","M","S","Shr","Intact","Isolated trenched with fish salvage and water quality monitoring","N/A","Clear span bridge","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted within LSA. Centre of the proposed pipeline corridor occurs at a meander bend. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type E.","No. Measures to avoid harm will not be met for the primary isolated trenched pipeline crossing method because the construction timing is outside the LRBW."
"AB-144","W198.3","268.69","Unnamed tributary to McLeod River/ 472872/ 1","Class C (unmapped)","11","503428","5933123","-116.9482637","53.5469926","Map","BKTR (none)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","Winter (January to March) 2018","L","G","NA","Open","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Existing crossing or clear span bridge","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted within LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type C.","No. Measures to avoid harm will not be met for the primary isolated trenched method because the construction timing is outside the LRBW."
"AB-145","W199.4","274.44","Unnamed NCD/ 473429/ 1","NCD","11","497944","5932438","-117.0310252","53.54084257","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-146","W200.4","278.99","Unnamed NCD/ no FWMIS ID","NCD","11","493972","5931448","-117.0909438","53.53191328","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","L","M","MF","Intact","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-147","W201.3","283.39","Unnamed Wetland/ no FWMIS ID","Wetland","11","489889","5932762","-117.1525859","53.54366157","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-147a","W273.1","286.17","Unnamed Wetland/ no FWMIS ID","Wetland","11","487275","5933236","-117.192053","53.54786531","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-148","W202.3","287.07","Unnamed NCD/ 473163/ 1","NCD","11","486374","5933220","-117.2056507","53.54769888","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-148a","W203.3","287.22","Unnamed NCD/496015/1","NCD","11","486221","5933218","-117.2079597","53.54767691","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-149","W204.3","287.54","Unnamed NCD/ 496015/ 1","NCD","11","485902","5933222","-117.2127744","53.5477044","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-149a","W2035. 1","287.79","Unnamed NCD/ 165753/ 1","NCD","11","485656","5933201","-117.2164861","53.54750898","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-150","W205.3","288.09","Unnamed NCD/ 473434/ 1","NCD","11","485366","5933116","-117.2208589","53.54673695","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-151","W206.4","289.39","Unnamed NCD/ 473526/ 1","NCD","11","484174","5932615","-117.2388233","53.54219912","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-151a","W207.3","290.17","Unnamed Wetland/ no FWMIS ID","Wetland","11","483479","5932260","-117.2492924","53.53898679","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-152","W208.3","290.42","Unnamed NCD/ no FWMIS ID","NCD","11","483258","5932152","-117.2526213","53.53800904","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-153","W209.5","290.45","Rooster Creek/ 1480/ 3","Class C (unmapped)","11","483229","5932137","-117.2530581","53.53787328","Map","None (RNTR)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","Winter (January to March) 2018","H","M","YF","Intact","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Clear span bridge","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Centre of the proposed pipeline corridor parallels watercourse. Spring influence observed within LSA.","Standard procedures and Type C.","No. Measures to avoid harm will not be met for the primary isolated trenched pipeline crossing method because the construction timing is outside the LRBW."
"AB-154","W210.4","292.99","Unnamed tributary to Ponoka Creek/ 474501/ 2","Class C (unmapped)","11","481108","5930876","-117.2849854","53.52646677","Map","None (none)","Low (Green)","September 1 to July 15","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","Winter (January to March) 2018","M","S","Shr","Intact","Isolated trenched","Open cut if dry or frozen to bottom","Clear span bridge or Type 3 culvert","Class 1 Non- Navigable","Discontinuous channel observed within LSA.","Standard procedures and Type B.","Yes"
"AB-155","W211.3","293.88","Ponoka Creek/ 1367/ 3","Class C","11","480650","5930272","-117.2918569","53.52102103","Map","BKTR (BKTR and RNTR)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","Winter (January to March) 2018","H","M","MF","Intact","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Clear span bridge","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted within LSA. Steep, erodible and unstable banks at the proposed pipeline corridor.","Standard procedures and Type F.","No. Measures to avoid harm will not be met for the primary isolated trenched pipeline crossing method because the construction timing is outside the LRBW."
"AB-156","W212.2","294.54","Unnamed Wetland/ 474849/ 1","Wetland","11","480030","5930070","-117.3011954","53.51918216","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-156a","W213.4","296.2","Unnamed NCD/474603/1","NCD","11","478622","5929237","-117.3223742","53.51163936","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-156b","W214.4","296.3","Unnamed NCD/ no FWMIS ID","NCD","11","478538","5929183","-117.3236372","53.51115056","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-157","W215.3","297.12","Roundcroft Creek/ 19328/ 3","Class C","11","477985","5928678","-117.3319405","53.5065885","Map","BKTR (BKTR, BLTR and RNTR)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","Winter (January to March) 2018","H","M","MF","Intact","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Clear span bridge","Class 2 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Steep, erodible and unstable banks at the centre of the proposed pipeline corridor. Spring influence noted within LSA.","Standard procedures and Type F.","No. Measures to avoid harm will not be met for the isolated trenched pipeline crossing method because the construction timing is outside the LRBW, and potential spawning habitat (substrate and spring influences) occurs within the PPC."
"AB-158","W216.3","297.36","Unnamed tributary to Roundcroft Creek/ 475011/ 1","Class C (unmapped)","11","477741","5928717","-117.3356223","53.50692878","Map","None (none)","Low (Green)","September 1 to July 15","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","Winter (January to March) 2018","M","S","Shr","Patchy","Isolated trenched","Open cut if dry or frozen to bottom","Clear span bridge or Type 3 culvert","Class 1 Non- Navigable","Beaver activity noted within LSA. No fish habitat potential.","Standard procedures and Type A or B.","Yes"
"AB-159","W217.4","298.71","Unnamed NCD/ 475063/ 1","NCD","11","476605","5928011","-117.3526979","53.50053358","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-160","W218.3","299.66","Unnamed NCD/ 475604/ 1","NCD","11","475810","5927494","-117.364643","53.49585057","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-161","W219.3","300.18","Unnamed NCD/ no FWMIS ID","NCD","11","475373","5927211","-117.371208","53.49328655","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-162","W220.4","301.02","Sandstone Creek/ 1515/ 3","Class C","11","474695","5926745","-117.3813898","53.48906575","Map","BKTR (BKTR and ARTR8)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","July to August 2018","H","M","MF","Intact","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Clear span bridge","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Spring influence noted within LSA.","Standard procedures and Type F.","Yes. An isolated trenched pipeline crossing method will be completed inside the LRBW."
"AB-162a","W221.4","301.03","Unnamed NCD/ no FWMIS ID","NCD","11","474689","5926742","-117.38148","53.48903849","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-163","W223.4","303.25","Unnamed tributary to Hunt Creek/ 476415/ 2","Class C","11","472779","5925904","-117.4101935","53.48141082","Map","BKTR (BKTR and RNTR)","Low (Green)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","Winter (January to March) 2018","M","M","YF","Intact","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Existing crossing","Class 2 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs.","Standard procedures and Type D.","No. Measures to avoid harm will not be met for the primary isolated trenched pipeline crossing method because the construction timing is outside the LRBW."
"AB-162b","W222.3","303.26","Unnamed NCD/ no FWMIS ID","NCD","11","472769","5925899","-117.4103438","53.48136536","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-164","W225.3","303.35","Hunt Creek/ 806/ 3","Class C","11","472690","5925859","-117.4115307","53.48100173","Map","BKTR (BKTR and RNTR)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","Winter (January to March) 2018","H","M","YF","Intact","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Existing crossing","Class 2 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Centre of the proposed pipeline corridor parallels watercourse.","Standard procedures and Type E.","No. Measures to avoid harm will not be met for the primary isolated trenched method because the construction timing is outside the LRBW."
"AB-165","W226.4","305.41","Unnamed NCD/ 476371/ 1","NCD","11","470898","5924956","-117.4384496","53.47278913","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-166","W227.4","306.72","Unnamed NCD/ 476343/ 1","NCD","11","469857","5924170","-117.4540574","53.46566566","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-167","W228.4","307.69","Trail Creek/ 1798/ 2","Class C (unmapped)","11","469072","5923758","-117.4658412","53.46191691","Map","RNTR (BKTR, NRPK and RNTR)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","Winter (January to March) 2018","H","S","Shr","Intact","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Existing crossing or clear span bridge","Class 3 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Spring influence noted within LSA.","Standard procedures and Type F.","No. Measures to avoid harm will not be met for the primary isolated trenched pipeline crossing method because the construction timing is outside the LRBW and there is potential spawning habitat (substrate and spring influences) occurs within the PPC."
"AB-167a","W229.4","309.13","Unnamed NCD/20489/2","NCD","11","468000","5922867","-117.4818965","53.45384419","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-168","W230.3","309.38","Unnamed tributary to Athabasca River/ 20489/ 2","Class C","11","467796","5922712","-117.4849526","53.45243856","Map","ARTR (BKTR)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","July to August 2018","H","D","YF","Intact","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Existing crossing","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs.","Standard procedures and Type D.","Yes. An isolated trenched pipeline crossing method will be required inside the LRBW. Pending the successful implementation of all mitigation measures, serious harm can be avoided."
"AB-168a","W231.2","310.28","Unnamed Wetland/477085/1","Wetland","11","467554","5921960","-117.4885191","53.44566442","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-169","W232.2","310.81","Unnamed tributary to Athabasca River/ 477085/ 1","Class C (unmapped)","11","467634","5921450","-117.4872622","53.44108524","Map","None (none)","Low (Green)","September 1 to July 15","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","Winter (January to March) 2018","L","S","Shr","Intact","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","Discontinuous channel observed within LSA.","Standard procedures and Type A or B.","Yes"
"AB-170","W233.3","310.85","Unnamed tributary to Athabasca River/ 477201/ 1","Class C (unmapped)","11","467643","5921412","-117.4871228","53.44074423","Map","None (none)","Low (Green)","September 1 to July 15","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","Winter (January to March) 2018","M","G","NA","Open","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","None.","Standard procedures and Type C.","Yes"
"AB-171","W234.3","311.3","Unnamed tributary to Athabasca River/ 26508/ 2","Class C (unmapped)","11","467798","5921020","-117.4847493","53.43723025","Map","None (none)","Low (Green)","September 1 to July 15","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","Winter (January to March) 2018","M","S","Shr","Intact","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","Discontinuous channel observed within LSA.","Standard procedures and Type C.","Yes"
"AB-172","W235.4","311.91","Unnamed tributary to Athabasca River/ 26508/ 2","Class C (unmapped)","11","467499","5920545","-117.4892011","53.43294239","Map","None (none)","Low (Green)","September 1 to July 15","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","Winter (January to March) 2018","M","M","YF","Intact","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","Discontinuous channel observed within LSA. Spring influence observed within LSA (upstream from the centre of the proposed pipeline corridor).","Standard procedures and Type C.","Yes"
"AB-173","W236.4","312.44","Unnamed NCD/ no FWMIS ID","NCD","11","467495","5920011","-117.4892061","53.42814231","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-174","W237.4","313.62","Unnamed NCD/ 26510/ 1","NCD","11","466822","5919447","-117.4992751","53.42303092","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-175","W238.4","313.71","Unnamed NCD/ no FWMIS ID","NCD","11","466769","5919385","-117.5000661","53.4224703","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential. Spring influence observed within LSA (at the centre of the proposed pipeline corridor).","Standard procedures and Type A.","Yes"
"AB-176RM","W239.3","314.23","Unnamed tributary to Cache Percotte Creek/ 479013/ 2","Class C (unmapped)","11","466434","5918989","-117.5050648","53.41888967","Map","None (none)","Low (Green)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP. Note: assumes that RAP for Cache Percotte Creek (250 m downstream) is applicable to this crossing location)","Winter (January to March) 2018","H","M","MF","Intact","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Clear span bridge","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. For methods of assessment at this site see Section 3.3.1 of this supplemental report. Impassable barrier located downstream of the fish sampling location but upstream of the crossing precluded the determination of fish-bearing or nonfish-bearing.","Standard procedures and Type D.","No. Measures to avoid harm will not be met for the primary isolated trenched pipeline crossing method because the construction timing is outside the LRBW."
"AB-176a","W240.4","314.65","Unnamed tributary to Cache Percotte Creek/ no FWMIS ID","Class C (unmapped)","11","466157","5918667","-117.5091981","53.41597769","Map","None (none)","Low (Green)","September 1 to July 15","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","Winter (January to March) 2018","M","M","MF","Intact","Isolated trenched","Open cut if dry or frozen to bottom","Clear span bridge","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type C.","Yes"
"AB-176b","W274.3","314.98","Unnamed NCD/ no FWMIS ID","NCD","11","465918","5918442","-117.5127696","53.41393991","Map","None (none)","Low (Green)","None","Open","N/A","Winter (January to March) 2018","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential. Spring influence observed within LSA (at the centre of the proposed pipeline corridor).","Standard procedures and Type A.","Yes"
"AB-177","W241.4","315.04","Cache Percotte Creek/ 237/ 2","Class C (unmapped)","11","465870","5918412","-117.5134884","53.41366715","Map","None (RNTR)","High (Red)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","Winter (January to March) 2018","H","M","MF","Intact","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Clear span bridge","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Spring influence noted within LSA.","Standard procedures and Type F.","No. Measures to avoid harm will not be met for the primary isolated trenched pipeline crossing method because the construction timing is outside the LRBW and potential spawning habitat (substrate and spring influences) occurs within the PPC."
"AB-178","W242.3","317.2","Unnamed tributary to Hardisty Creek/ 479630/ 1","Class C (unmapped)","11","464373","5916915","-117.5358407","53.40011253","Map","None (none)","Low (Green)","September 1 to July 15","July 16 to August 31","Same as Provincial RAP.","Winter (January to March) 2018","M","M","MF","Intact","Isolated trenched with fish salvage and water quality monitoring water quality monitoring if inside RAP","Open cut if dry or frozen to bottom","Clear span bridge or Type 3 culvert","Class 1 Non- Navigable","Discontinuous channel observed within LSA. Steep, erodible and unstable banks at the centre of the proposed pipeline corridor.","Standard procedures and Type F.","Yes. Watercourse considered nonfish-bearing at the crossing location; LRBW is precautionary given proximity of Hardisty Creek within the ZOI."
